1;1615.00;10.50;603.00;big
1;1498.00;9.82;593.00;big
2;2578.00;9.50;273.00;big
2;3814.00;9.50;196.00;big
3;2088.00;9.50;1807.00;big
3;787.00;9.50;1825.00;big
4;5213.00;9.50;1080.00;big
4;140.00;9.50;478.00;big
5;4141.00;9.50;1210.00;big
5;3126.00;9.50;1257.00;big
6;1404.00;9.68;477.00;big
6;1430.00;9.93;524.00;big
7;1014.00;14.38;779.00;big
7;1091.00;14.95;808.00;big
8;1333.00;9.80;437.00;big
8;1265.00;9.82;431.00;big
9;1606.00;10.40;1069.00;big
9;1703.00;9.80;1032.00;big
10;1166.00;12.07;571.00;big
10;1202.00;10.48;546.00;big
11;1124.00;9.70;637.00;big
11;1099.00;9.70;703.00;big
12;1151.00;13.15;344.00;big
12;1251.00;10.35;340.00;big
13;1980.00;11.57;760.00;big
13;2034.00;10.48;808.00;big
14;2372.00;9.50;1355.00;big
14;2147.00;9.50;1405.00;big
15;1548.00;9.50;1661.00;big
15;1176.00;9.50;1600.00;big
16;414.00;9.50;1371.00;big
16;813.00;9.50;1347.00;big
17;672.00;9.50;459.00;big
17;560.00;9.50;869.00;big
18;787.00;9.50;97.00;big
18;1112.00;9.50;212.00;big
19;1831.00;9.50;131.00;big
19;1428.00;9.50;129.00;big
20;1566.00;9.50;443.00;big
20;1810.00;9.50;358.00;big
21;2135.00;9.50;633.00;big
21;2008.00;9.50;450.00;big
22;2335.00;9.50;730.00;big
22;2177.00;9.50;870.00;big
23;2373.00;9.50;1061.00;big
23;2585.00;9.50;1323.00;big
24;1852.00;9.50;516.00;big
24;1746.00;9.50;472.00;big
25;1426.00;9.50;401.00;big
25;1421.00;9.50;327.00;big
26;800.00;9.50;644.00;big
26;734.00;9.50;740.00;big
27;2001.00;9.50;1464.00;big
27;1889.00;9.50;1567.00;big
28;1528.00;9.50;1483.00;big
28;1695.00;9.50;1518.00;big
29;1734.00;16.98;290.00;big
29;1655.00;10.43;278.00;big
30;1465.00;9.88;333.00;big
30;1449.00;9.73;306.00;big
31;1773.00;9.70;431.00;big
31;1814.00;9.70;427.00;big
32;1063.00;9.50;1267.00;big
32;956.00;9.50;1298.00;big
33;811.00;14.40;547.00;big
33;752.00;13.53;688.00;big
34;2177.00;9.50;1172.00;big
34;2293.00;9.50;1298.00;big
35;2102.00;9.70;1012.00;big
35;2005.00;11.35;1021.00;big
36;2073.00;9.88;878.00;big
36;2044.00;11.57;950.00;big
37;1940.00;14.98;1083.00;big
37;2061.00;14.57;1132.00;big
38;1855.00;11.45;1051.00;big
38;1798.00;12.12;962.00;big
39;1935.00;10.07;954.00;big
39;1924.00;10.20;881.00;big
40;1868.00;9.90;770.00;big
40;1913.00;10.78;797.00;big
41;1877.00;9.80;697.00;big
41;1942.00;10.00;695.00;big
42;1704.00;14.68;828.00;big
42;1815.00;11.30;851.00;big
43;1576.00;9.70;1000.00;big
43;1678.00;11.12;959.00;big
44;1811.00;9.98;624.00;big
44;1863.00;9.75;592.00;big
45;1608.00;10.00;701.00;big
45;1737.00;10.00;690.00;big
46;1636.00;9.70;557.00;big
46;1734.00;14.10;549.00;big
47;1453.00;10.98;1118.00;big
47;1464.00;10.48;1051.00;big
48;1483.00;11.40;966.00;big
48;1390.00;11.82;955.00;big
49;1599.00;12.00;860.00;big
49;1451.00;13.85;864.00;big
50;1519.00;13.00;739.00;big
50;1397.00;13.12;764.00;big
51;1409.00;9.80;617.00;big
51;1400.00;10.05;692.00;big
52;1311.00;9.70;664.00;big
52;1347.00;9.73;547.00;big
53;1171.00;13.23;859.00;big
53;1266.00;13.80;861.00;big
54;1321.00;10.10;787.00;big
54;1204.00;9.60;761.00;big
55;913.00;11.70;735.00;big
55;820.00;11.32;768.00;big
56;1184.00;11.45;677.00;big
56;1216.00;9.68;642.00;big
57;1073.00;11.05;634.00;big
57;1009.00;10.20;657.00;big
58;1286.00;9.70;533.00;big
58;1248.00;9.70;556.00;big
59;1222.00;9.88;597.00;big
59;1128.00;13.80;581.00;big
60;1095.00;9.60;536.00;big
60;1141.00;9.70;548.00;big
61;1271.00;12.48;252.00;big
61;1339.00;12.62;257.00;big
62;1384.00;10.12;395.00;big
62;1350.00;10.30;322.00;big
63;1302.00;11.85;472.00;big
63;1224.00;9.70;471.00;big
64;868.00;12.38;638.00;big
64;954.00;9.70;650.00;big
65;1062.00;12.88;455.00;big
65;919.00;10.05;543.00;big
66;1038.00;9.70;543.00;big
66;1175.00;9.78;430.00;big
67;1997.00;10.80;1311.00;big
67;1881.00;10.10;1212.00;big
68;1701.00;10.65;1386.00;big
68;1652.00;10.90;1164.00;big
69;0.00;9.50;0.00;big
69;1909.00;10.88;1464.00;big
70;1284.00;10.62;974.00;big
70;1155.00;11.98;1000.00;big
71;1358.00;11.53;1203.00;big
71;1101.00;10.95;1135.00;big
72;755.00;10.85;1064.00;big
72;945.00;10.30;967.00;big
73;1163.00;10.23;1391.00;big
73;1354.00;10.30;1444.00;big
74;1358.00;11.07;1535.00;big
74;1481.00;10.50;1538.00;big
75;1314.00;9.50;1352.00;big
75;1548.00;9.50;1372.00;big
76;4962.00;11.95;1450.00;big
76;5019.00;13.05;1347.00;big
77;4777.00;11.05;1466.00;big
77;4909.00;16.70;1588.00;big
78;4642.00;12.75;1539.00;big
78;4597.00;10.70;1382.00;big
79;4540.00;11.80;1565.00;big
79;4513.00;11.80;1486.00;big
80;4524.00;11.70;1713.00;big
80;4642.00;11.50;1690.00;big
81;4805.00;11.53;1703.00;big
81;4696.00;20.08;1806.00;big
82;4502.00;10.50;675.00;big
82;4551.00;13.28;757.00;big
83;4734.00;13.15;813.00;big
83;4806.00;20.68;826.00;big
84;4770.00;20.20;679.00;big
84;4844.00;16.50;713.00;big
85;4926.00;10.80;725.00;big
85;4992.00;11.90;652.00;big
86;4797.00;11.25;425.00;big
86;4917.00;10.80;524.00;big
87;4711.00;15.12;556.00;big
87;4586.00;11.85;424.00;big
88;4428.00;13.62;279.00;big
88;4233.00;11.20;255.00;big
89;4664.00;12.05;277.00;big
89;4810.00;10.23;167.00;big
